FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,54,Department of Planning and Development,0B21,Tax Increment Financing Administration Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4184,Historic Preservation,3 00,20,1441,Coordinating Planner,Annual,1,1,90060,90060
LOCAL,84,Chicago Department of Transportation,0B21,Tax Increment Financing Administration Fund,1115,Division of Administration,2115,Division of Administration,3216,Finance,4216,Financial Management,BX 17,20,381,Director of Administration II,Annual,1,1,80628,80628
LOCAL,84,Chicago Department of Transportation,0B21,Tax Increment Financing Administration Fund,1115,Division of Administration,2115,Division of Administration,3216,Finance,4216,Financial Management,3 00,10,123,Fiscal Administrator,Annual,1,1,114336,114336
LOCAL,84,Chicago Department of Transportation,0B21,Tax Increment Financing Administration Fund,1115,Division of Administration,2115,Division of Administration,3216,Finance,4216,Financial Management,B 13,4,110,Accountant,Annual,1,1,64668,64668
LOCAL,84,Chicago Department of Transportation,0B21,Tax Increment Financing Administration Fund,1115,Division of Administration,2115,Division of Administration,3216,Finance,4216,Financial Management,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,948,948
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,X 42,0,9681,Deputy Commissioner,Annual,1,1,148548,148548
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,3 00,20,8184,General Superintendent,Annual,1,1,132720,132720
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 19,10,8176,Assistant Division Superintendent,Annual,1,1,139056,139056
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 19,10,8176,Assistant Division Superintendent,Annual,1,1,126720,126720
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 19,10,8176,Assistant Division Superintendent,Annual,1,1,120960,120960
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 19,10,8176,Assistant Division Superintendent,Annual,1,1,115488,115488
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 19,10,8176,Assistant Division Superintendent,Annual,1,1,110256,110256
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 19,10,8176,Assistant Division Superintendent,Annual,1,1,99456,99456
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 19,10,8176,Assistant Division Superintendent,Annual,3,1,94992,284976
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 20,10,8175,Division Superintendent,Annual,5,1,139056,695280
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 20,10,8175,Division Superintendent,Annual,2,1,126720,253440
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 20,10,8175,Division Superintendent,Annual,1,1,120960,120960
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 20,10,8175,Division Superintendent,Annual,1,1,114348,114348
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,2 0,8,7183,Motor Truck Driver,Hourly,1,1,45.68,95014
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 14,54,7152,Refuse Collection Coordinator,Annual,18,1,123120,2216160
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 14,54,7152,Refuse Collection Coordinator,Annual,9,1,117576,1058184
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 14,54,7152,Refuse Collection Coordinator,Annual,4,1,112212,448848
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 14,54,7152,Refuse Collection Coordinator,Annual,5,1,107064,535320
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 14,54,7152,Refuse Collection Coordinator,Annual,7,1,97632,683424
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 14,54,7152,Refuse Collection Coordinator,Annual,1,1,93216,93216
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 14,54,7152,Refuse Collection Coordinator,Annual,2,1,73176,146352
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,10,1,84936,849360
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,2,1,81108,162216
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,1,1,77376,77376
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,2,1,73932,147864
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,1,1,64308,64308
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,1,1,60744,60744
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,1,1,55356,55356
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,5,1,52896,264480
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,8,1,50448,403584
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,123438,123438
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,1663,1663
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,8,7184,Pool Motor Truck Driver,Hourly,77,1,45.68,7316109
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,8,7184,Pool Motor Truck Driver,Hourly,31,1,41.11,2650773
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,8,7183,Motor Truck Driver,Hourly,41,1,45.68,3895590
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6329,General Laborer - Streets and Sanitation,Hourly,10,1,28.35,589680
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6329,General Laborer - Streets and Sanitation,Hourly,4,1,27.53,229050
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6329,General Laborer - Streets and Sanitation,Hourly,7,1,26.73,389189
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6329,General Laborer - Streets and Sanitation,Hourly,16,1,25.95,863616
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6329,General Laborer - Streets and Sanitation,Hourly,22,1,25.19,1152694
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6329,General Laborer - Streets and Sanitation,Hourly,189,1,24.91,9792619
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6329,General Laborer - Streets and Sanitation,Hourly,45,1,24.46,2289456
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6329,General Laborer - Streets and Sanitation,Hourly,28,1,23.74,1382618
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6329,General Laborer - Streets and Sanitation,Hourly,32,1,23.05,1534208
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6329,General Laborer - Streets and Sanitation,Hourly,44,1,22.38,2048218
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6324,Sanitation Laborer,Hourly,233,1,45.29,21949346
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,2 0,54,6324,Sanitation Laborer,Hourly,29,1,31.7,1912144
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,BX 17,10,304,Assistant to Commissioner,Annual,1,1,132708,132708
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3050,Solid Waste Collection,4025,Refuse Collection,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,1014919,1014919
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3058,Solid Waste Disposal,4032,Supervisory and Clerical,2 0,54,9495,Weighmaster,Hourly,2,1,41.39,172182
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3058,Solid Waste Disposal,4032,Supervisory and Clerical,B 12,1,303,Administrative Assistant III,Annual,1,1,102336,102336
LOCAL,81,Department of Streets and Sanitation,0B32,Garbage Collection Fund,1015,Bureau of Sanitation,2020,Bureau of Sanitation,3058,Solid Waste Disposal,4032,Supervisory and Clerical,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,3013,3013
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3006,Public Information,0,,B 15,1,729,Information Coordinator,Annual,1,1,77892,77892
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,B 16,4,3467,Public Health Administrator III,Annual,3,1,85524,256572
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,B 14,4,3466,Public Health Administrator II,Annual,1,1,73188,73188
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,GY 11,20,3408,Epidemiologist IV,Annual,1,1,103176,103176
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,X 33,20,3057,Director of Program Operations,Annual,3,1,118128,354384
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,G 07,3,2989,Grants Research Specialist,Annual,1,1,91884,91884
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,3 00,0,1431,Senior Policy Analyst,Annual,1,1,90960,90960
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,B 13,1,1301,Administrative Services Officer I,Annual,2,1,64668,129336
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,B 13,4,620,GIS Analyst,Annual,1,1,69912,69912
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,B 13,4,620,GIS Analyst,Annual,1,1,64668,64668
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,3 00,0,613,GIS Manager,Annual,1,1,103512,103512
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,B 10,1,431,Clerk IV,Annual,1,1,48960,48960
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,B 14,1,380,Director of Administration I,Annual,1,1,71004,71004
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,X 33,9,313,Assistant Commissioner,Annual,2,1,118128,236256
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,3 00,9,311,Projects Administrator,Annual,1,1,128844,128844
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,3 00,9,311,Projects Administrator,Annual,4,1,103512,414048
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,B 13,1,308,Staff Assistant,Annual,2,1,64668,129336
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,G 07,4,124,Finance Officer,Annual,1,1,84972,84972
LOCAL,41,Chicago Department of Public Health,0B89,Opioid Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3037,Opioid/Substance Use Prevention,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,6042,6042
LOCAL,41,Chicago Department of Public Health,0B90,Vaping Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3036,Chronic Disease,0,,3 00,20,3760,Director of School Nursing,Annual,1,1,108996,108996
LOCAL,41,Chicago Department of Public Health,0B90,Vaping Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3036,Chronic Disease,0,,S 05,37,3752,Public Health Nurse II,Annual,1,1,82488,82488
LOCAL,41,Chicago Department of Public Health,0B90,Vaping Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3036,Chronic Disease,0,,B 16,4,3467,Public Health Administrator III,Annual,1,1,85524,85524
LOCAL,41,Chicago Department of Public Health,0B90,Vaping Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3036,Chronic Disease,0,,G 09,4,3407,Epidemiologist III,Annual,1,1,102876,102876
LOCAL,41,Chicago Department of Public Health,0B90,Vaping Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3036,Chronic Disease,0,,3 00,20,1441,Coordinating Planner,Annual,1,1,95616,95616
LOCAL,41,Chicago Department of Public Health,0B90,Vaping Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3036,Chronic Disease,0,,3 00,9,311,Projects Administrator,Annual,1,1,100500,100500
LOCAL,41,Chicago Department of Public Health,0B90,Vaping Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3036,Chronic Disease,0,,G 07,4,124,Finance Officer,Annual,1,1,84972,84972
LOCAL,41,Chicago Department of Public Health,0B90,Vaping Settlement Fund,1005,Department of Public Health,2005,Department of Public Health,3036,Chronic Disease,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1920,1920
LOCAL,41,Chicago Department of Public Health,0B92,Construction and Demolition Debris Management Fund,1005,Department of Public Health,2020,Public Health,3052,Environmental Permitting and Inspections,0,,G 06,4,2074,Environmental Engineer I,Annual,1,1,76956,76956
LOCAL,54,Department of Planning and Development,0D43,Neighborhoods Opportunity Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4097,Neighborhood Development,X 32,9,9679,Deputy Commissioner,Annual,1,1,152748,152748
LOCAL,54,Department of Planning and Development,0D43,Neighborhoods Opportunity Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4097,Neighborhood Development,BX 16,10,1984,Coordinator of Economic Development I - Planning and Development,Annual,1,1,80628,80628
LOCAL,54,Department of Planning and Development,0D43,Neighborhoods Opportunity Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4097,Neighborhood Development,BX 16,10,1984,Coordinator of Economic Development I - Planning and Development,Annual,1,1,77796,77796
LOCAL,54,Department of Planning and Development,0D43,Neighborhoods Opportunity Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4097,Neighborhood Development,3 00,9,311,Projects Administrator,Annual,1,1,104556,104556
LOCAL,54,Department of Planning and Development,0D43,Neighborhoods Opportunity Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4097,Neighborhood Development,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,7446,7446
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,X 32,9,9656,Deputy Budget Director,Annual,1,1,135084,135084
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,3 00,10,2925,Grants Manager - OBM,Annual,2,1,110976,221952
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,BX 16,10,1333,Compensation Specialist,Annual,1,1,120960,120960
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,BX 16,10,1333,Compensation Specialist,Annual,1,1,77796,77796
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,X 33,9,1124,Assistant Budget Director,Annual,1,1,118128,118128
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,X 31,9,1120,Managing Deputy Budget Director,Annual,1,1,145092,145092
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,GY 07,20,1105,Senior Budget Analyst,Annual,1,1,73800,73800
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,GY 05,20,1103,Budget Analyst,Annual,1,1,66852,66852
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,GY 05,20,1103,Budget Analyst,Annual,2,1,60684,121368
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,X 33,0,603,Assistant Director of Information Systems,Annual,1,1,133524,133524
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,BX 13,20,366,Staff Assistant - Excluded,Annual,1,1,83472,83472
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,1 00,0,44,Fringe Benefits,Annual,0,0,815291,815291
GRANT,5,Office of Budget and Management,75,Grants Management Fund,1005,Office of Budget and Management,2855,Grants Management,3935,Grant Operations,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,18069,18069
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,G 04,4,1143,Operations Analyst,Annual,1,1,92808,92808
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,GY 11,20,187,Director of Accounting,Annual,1,1,107772,107772
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,GY 10,20,120,Supervisor of Accounting,Annual,1,1,126672,126672
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,GY 10,20,120,Supervisor of Accounting,Annual,1,1,94500,94500
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,G 07,4,111,Lead Accountant,Annual,1,1,122196,122196
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,G 07,4,111,Lead Accountant,Annual,3,1,84972,254916
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,B 13,4,110,Accountant,Annual,1,1,84972,84972
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,B 13,4,110,Accountant,Annual,2,1,66684,133368
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,B 13,4,110,Accountant,Annual,3,1,64668,194004
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,B 11,1,109,Accounting Technician,Annual,1,1,93252,93252
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,B 11,1,109,Accounting Technician,Annual,2,1,53736,107472
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,1 00,0,44,Fringe Benefits,Annual,0,0,886835,886835
GRANT,27,Department of Finance,75,Grants Management Fund,1005,Finance,2855,Central Grants Management,3855,Central Grants Management,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,11930,11930
GRANT,33,Department of Human Resources,75,Grants Management Fund,1005,Department of Human Resources,2800,Central Grants Management,3800,Central Grants Management,0,,G 08,4,1380,Recruiter,Annual,1,1,133428,133428
GRANT,33,Department of Human Resources,75,Grants Management Fund,1005,Department of Human Resources,2800,Central Grants Management,3800,Central Grants Management,0,,G 08,4,1380,Recruiter,Annual,1,1,115872,115872
GRANT,33,Department of Human Resources,75,Grants Management Fund,1005,Department of Human Resources,2800,Central Grants Management,3800,Central Grants Management,0,,G 04,1,1358,Onboarding Specialist,Annual,3,1,63420,190260
GRANT,33,Department of Human Resources,75,Grants Management Fund,1005,Department of Human Resources,2800,Central Grants Management,3800,Central Grants Management,0,,G 05,1,1357,Recruiting Coordinator,Annual,1,1,69900,69900
GRANT,33,Department of Human Resources,75,Grants Management Fund,1005,Department of Human Resources,2800,Central Grants Management,3800,Central Grants Management,0,,3 00,9,1356,Recruitment Manager,Annual,1,1,108792,108792
GRANT,33,Department of Human Resources,75,Grants Management Fund,1005,Department of Human Resources,2800,Central Grants Management,3800,Central Grants Management,0,,1 00,0,44,Fringe Benefits,Annual,0,0,388323,388323
